,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,1.5789218902587892,0.012665259691875139,0.01519918441772461,0.000986623117607915,0.1,3,50,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 50}",0.9986846463604396,0.9990196364766979,0.9990920388027407,0.9989310595706713,0.9990766691189168,0.9989608100658932,0.00014916858404239258,35
1,2.9626817226409914,0.07387606377568329,0.01639528274536133,0.0015679332825825078,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.9992340071540704,0.9994401755562847,0.9995706070626496,0.9994595697209103,0.99956190651844,0.999453253202471,0.000121537833240612,26
2,4.125549936294556,0.04720502388051008,0.018648338317871094,0.0012466161254723036,0.1,3,150,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 150}",0.9993608741202965,0.9995354599303145,0.9996924530099706,0.9995910744221554,0.9996716023665787,0.9995702927698632,0.00011890175206371768,17
3,5.6695350170135494,0.051725128460329374,0.0197145938873291,0.00047427593455354227,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.9994045684832866,0.9995786943526417,0.9997348442077487,0.9996489502889233,0.9997205093904168,0.9996175133446034,0.00012017938797142903,7
4,1.929255723953247,0.01809498291187424,0.01484522819519043,0.001038476481074273,0.1,4,50,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 50}",0.9990369225799511,0.9993489156630571,0.9995659693276304,0.9994044151697323,0.9995265677441619,0.9993765580969066,0.00018722815687130545,27
5,3.7809101581573485,0.08236097216118461,0.01971545219421387,0.001698990752664749,0.1,4,100,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 100}",0.999314036829442,0.9995739416324567,0.9997331960870395,0.9996245734337814,0.9996968224462696,0.9995885140857977,0.00014799593214773164,14
6,13.396372509002685,9.886247495254086,0.09432816505432129,0.10721126035610394,0.1,4,150,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 150}",0.999415415417257,0.9996127299617077,0.9997678449503229,0.9996755501906033,0.9997428548409637,0.9996428790721709,0.0001259584933191521,6
7,23.52231364250183,10.87380788005165,0.03338546752929687,0.006974972144561993,0.1,4,200,"{'learning_rate': 0.1, 'max_depth': 4, 'n_estimators': 200}",0.9994568867337091,0.9996354203677518,0.9997839812019185,0.9996749369363858,0.9997563847621351,0.99966152200038,0.00011552666160553845,3
8,3.8047478675842283,0.3460923905365505,0.025901031494140626,0.0034400492632672007,0.1,5,50,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 50}",0.9991858283696154,0.9995004277831449,0.999677619923587,0.9995260311467218,0.9996297094378521,0.9995039233321842,0.00017185926206193529,25
9,9.749396324157715,1.032659447330063,0.04520072937011719,0.002794032496426312,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.9993039564632432,0.9996177509806127,0.9997712561769073,0.9996422428209204,0.9997433147816266,0.9996157042446621,0.00016635865901542548,8
10,20.87296962738037,2.2707177153806133,0.05662083625793457,0.006023270203497216,0.1,5,150,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 150}",0.9993981676423925,0.999625531643496,0.9997809149308314,0.9996606404474426,0.9997536251181568,0.9996437759564639,0.00013550988640526068,5
11,21.741879653930663,1.0127786991378704,0.05142598152160645,0.00794671070712581,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.9994608728861223,0.9996622502397632,0.9998011523200059,0.9996640133456384,0.9997562314485808,0.9996689040480222,0.00011701353493214433,1
12,8.110301303863526,0.46042171953686173,0.04360418319702149,0.004104808512286864,0.1,6,50,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 50}",0.9992511782721577,0.9995630563700977,0.9997395202711566,0.9995471117604451,0.9996587623564018,0.9995519258060519,0.00016565136610552402,20
13,15.167110109329224,0.5102932381221541,0.047882699966430665,0.0042252087550290075,0.1,6,100,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 100}",0.9992035744135315,0.9996333506347679,0.9997913019241387,0.9996507517231868,0.9997370672542868,0.9996032091899825,0.00020792960911228557,9
14,43.153168249130246,5.745815645806385,0.13188648223876953,0.07837330397674912,0.1,6,150,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 150}",0.999405450036224,0.9996572675492469,0.9998078981163973,0.9996707974704183,0.9997467260082109,0.9996576278360993,0.0001373221418701937,4
15,63.35320520401001,2.1498232108770585,0.08671813011169434,0.027425130254190144,0.1,6,200,"{'learning_rate': 0.1, 'max_depth': 6, 'n_estimators': 200}",0.9994419769905485,0.9996679228412743,0.999809507908718,0.9996613303584372,0.9997486424276404,0.9996658761053236,0.00012460820646816945,2
16,3.742458963394165,0.43385728855575006,0.037202882766723636,0.0070553275618289255,0.01,3,50,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 50}",0.9924664019094896,0.9927947612145224,0.9947061596250135,0.9939158282523305,0.9942881885474623,0.9936342679097636,0.0008630785320104712,57
17,27.4629695892334,11.966260999486618,0.09783816337585449,0.07382879812057788,0.01,3,100,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100}",0.9956870597457554,0.9955949566279788,0.9969727472125488,0.9969568026028962,0.9962700345361779,0.9962963201450714,0.0005928896364802488,50
